"Raw_Category","Standard_Category"
"amino acids","Amino acids, peptides, and analogues"
"amino acids, peptides, and analogues","Amino acids, peptides, and analogues"
"amino acid","Amino acids, peptides, and analogues"
"peptides","Amino acids, peptides, and analogues"
"eicosanoids","Eicosanoids"
"fatty acids and conjugates","Fatty acids and conjugates"
"fatty acids","Fatty acids and conjugates"
"carbohydrates and carbohydrate conjugates","Carbohydrates and carbohydrate conjugates"
"carbohydrates","Carbohydrates and carbohydrate conjugates"
"carbohydrate","Carbohydrates and carbohydrate conjugates"
"retinoids","Retinoids"
"bile acids, alcohols and derivatives","Bile acids, alcohols and derivatives"
"bile acids","Bile acids, alcohols and derivatives"
"amines","Amines"
"androstane steroids","Androstane steroids"
"hydroxysteroids","Hydroxysteroids"
"estrane steroids","Estrane steroids"
"pregnane steroids","Pregnane steroids"
"purines and purine derivatives","Purines and purine derivatives"
"purines","Purines and purine derivatives"
"purine","Purines and purine derivatives"
"pyrimidines and pyrimidine derivatives","Pyrimidines and pyrimidine derivatives"
"pyrimidines","Pyrimidines and pyrimidine derivatives"
"pyrimidine","Pyrimidines and pyrimidine derivatives"
"cholestane steroids","Cholestane steroids"
"lineolic acids and derivatives","Lineolic acids and derivatives"
"quaternary ammonium salts","Quaternary ammonium salts"
"purine ribonucleotides","Purine ribonucleotides"
"vitamin d and derivatives","Vitamin D and derivatives"
"alcohols and polyols","Alcohols and polyols"
"purine 2'-deoxyribonucleosides","Purine 2'-deoxyribonucleosides"
"pyrimidine 2'-deoxyribonucleosides","Pyrimidine 2'-deoxyribonucleosides"
"isoprenoid phosphates","Isoprenoid phosphates"
"benzenediols","Benzenediols"
"diterpenoids","Diterpenoids"
"carboxylic acids","Carboxylic acids"
"cyclic purine nucleotides","Cyclic purine nucleotides"
"dicarboxylic acids and derivatives","Dicarboxylic acids and derivatives"
"phenethylamines","Phenethylamines"
"tryptamines and derivatives","Tryptamines and derivatives"
"pyrimidine ribonucleotides","Pyrimidine ribonucleotides"
"pyrimidine nucleotide sugars","Pyrimidine nucleotide sugars"
"organic pyrophosphates","Organic pyrophosphates"
"pterins and derivatives","Pterins and derivatives"
"quinone and hydroquinone lipids","Quinone and hydroquinone lipids"
"short-chain keto acids and derivatives","Short-chain keto acids and derivatives"
"purine nucleotide sugars","Purine nucleotide sugars"
"corrinoids","Corrinoids"
"tetraterpenoids","Tetraterpenoids"
"tricarboxylic acids and derivatives","Tricarboxylic acids and derivatives"
"gamma butyrolactones","Gamma butyrolactones"
"sulfated steroids","Sulfated steroids"
"sesquiterpenoids","Sesquiterpenoids"
"other non-metal sulfides","Other non-metal sulfides"
"quinoline carboxylic acids","Quinoline carboxylic acids"
"indolyl carboxylic acids and derivatives","Indolyl carboxylic acids and derivatives"
"triterpenoids","Triterpenoids"
"indoles","Indoles"
"other non-metal oxides","Other non-metal oxides"
"gamma-keto acids and derivatives","Gamma-keto acids and derivatives"
"non-metal phosphates","Non-metal phosphates"
"carbonyl compounds","Carbonyl compounds"
"alpha-keto acids and derivatives","Alpha-keto acids and derivatives"
"alloxazines and isoalloxazines","Alloxazines and isoalloxazines"
"phosphosphingolipids","Phosphosphingolipids"
"organosulfonic acids and derivatives","Organosulfonic acids and derivatives"
"ureas","Ureas"
